Image,L,A,B
patch_01.png,86.53249690464132,-25.976954771534245,2.6203246449291218
patch_02.png,71.80443610962953,10.783252277895313,-27.6592891618432
patch_03.png,54.16056706281024,-21.910895654421346,27.914073219356087
patch_04.png,67.05305087203882,-0.21695196027351213,-26.515987489199226
patch_05.png,77.9301722365336,8.595069518329288,16.718702595714372
patch_06.png,43.6759730842697,10.155224484809075,15.449731728627873
patch_07.png,70.40531858590421,26.08006270215437,64.92447380263901
patch_08.png,56.22929971316088,19.325060786883522,-49.57354299040171
patch_09.png,60.78982546354845,44.2423537414114,11.45927062999222
patch_10.png,40.71931967620599,24.950651042212627,-34.04972126373481
patch_11.png,86.91263908400188,-30.30050087282815,65.11283996278304
patch_12.png,82.49126807746563,6.13060214490213,73.16240430902752
patch_13.png,71.14544403798628,-20.55841397967286,-24.836786643680163
patch_14.png,62.81577698594749,45.091929401720535,-24.62072685363274
patch_15.png,91.67033355434509,-10.826031076948409,82.4883199878464
patch_16.png,48.13901847082234,53.645271294312785,27.821396515680988
patch_17.png,72.64536104215719,-45.9069749895404,40.298799570280025
patch_18.png,41.66321900581694,34.546611159728435,-63.81903417130541
patch_19.png,96.19669766448229,0.015877696396509818,-0.0181276223114848
patch_20.png,89.59877268423354,0.2099132152796101,-0.8046901498040263
patch_21.png,80.15530447073918,-0.3720527881368901,-0.5205324465009917
patch_22.png,63.60391833207534,-0.5272497428951478,-1.5357373937166856
patch_23.png,42.405310970270904,-0.6941675668330095,-0.8901018966460604
patch_24.png,27.81807590526004,-0.8739153506684608,-1.7011072075707543
